Lookup (for Uploader),Trade,Precon System,Operations System,Title,Drawing Abbreviation,Precon Tag,System Type ID,Asset Category,Equip Name ID,Sub System Type,Sub System ID,Sub System Class,Class ID,Equipment Size,Unit,Asset ID,Notes,Service ID,Service Life
BoilerSteamElectric8000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Electric,ELE,8000.0,MBH,H-BLR-STM-ELE-8000,,HBLRSTMELE,15
BoilerSteamPackaged Fire Tube10000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,10000.0,MBH,H-BLR-STM-PFT-10000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube15000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,15000.0,MBH,H-BLR-STM-PFT-15000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube20000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,20000.0,MBH,H-BLR-STM-PFT-20000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube25000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,25000.0,MBH,H-BLR-STM-PFT-25000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube3000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,3000.0,MBH,H-BLR-STM-PFT-3000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube30000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,30000.0,MBH,H-BLR-STM-PFT-30000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube40000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,40000.0,MBH,H-BLR-STM-PFT-40000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube50000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,50000.0,MBH,H-BLR-STM-PFT-50000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube6000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,6000.0,MBH,H-BLR-STM-PFT-6000,,HBLRSTMPFT,25
BoilerSteamPackaged Fire Tube60000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Fire Tube,PFT,60000.0,MBH,H-BLR-STM-PFT-60000,,HBLRSTMPFT,25
BoilerSteamPackaged Flexible Water Tube1000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,1000.0,MBH,H-BLR-STM-PWT-1000,,HBLRSTMPWT,24
BoilerSteamPackaged Flexible Water Tube10000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,10000.0,MBH,H-BLR-STM-PWT-10000,,HBLRSTMPWT,24
BoilerSteamPackaged Flexible Water Tube12500,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,12500.0,MBH,H-BLR-STM-PWT-12500,,HBLRSTMPWT,24
BoilerSteamPackaged Flexible Water Tube1500,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,1500.0,MBH,H-BLR-STM-PWT-1500,,HBLRSTMPWT,24
BoilerSteamPackaged Flexible Water Tube15000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,15000.0,MBH,H-BLR-STM-PWT-15000,,HBLRSTMPWT,24
BoilerSteamPackaged Flexible Water Tube2000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,2000.0,MBH,H-BLR-STM-PWT-2000,,HBLRSTMPWT,24
BoilerSteamPackaged Flexible Water Tube3000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,3000.0,MBH,H-BLR-STM-PWT-3000,,HBLRSTMPWT,24
BoilerSteamPackaged Flexible Water Tube5000,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,5000.0,MBH,H-BLR-STM-PWT-5000,,HBLRSTMPWT,24
BoilerSteamPackaged Flexible Water Tube7500,PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,Packaged Flexible Water Tube,PWT,7500.0,MBH,H-BLR-STM-PWT-7500,,HBLRSTMPWT,24
"BoilerSteamPackaged Water Tube ""D"" Style Steam Generators10000",PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,"Packaged Water Tube ""D"" Style Steam Generators",PWS,10000.0,MBH,H-BLR-STM-PWS-10000,,HBLRSTMPWS,24
"BoilerSteamPackaged Water Tube ""D"" Style Steam Generators15000",PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,"Packaged Water Tube ""D"" Style Steam Generators",PWS,15000.0,MBH,H-BLR-STM-PWS-15000,,HBLRSTMPWS,24
"BoilerSteamPackaged Water Tube ""D"" Style Steam Generators20000",PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,"Packaged Water Tube ""D"" Style Steam Generators",PWS,20000.0,MBH,H-BLR-STM-PWS-20000,,HBLRSTMPWS,24
"BoilerSteamPackaged Water Tube ""D"" Style Steam Generators25000",PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,"Packaged Water Tube ""D"" Style Steam Generators",PWS,25000.0,MBH,H-BLR-STM-PWS-25000,,HBLRSTMPWS,24
"BoilerSteamPackaged Water Tube ""D"" Style Steam Generators30000",PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,"Packaged Water Tube ""D"" Style Steam Generators",PWS,30000.0,MBH,H-BLR-STM-PWS-30000,,HBLRSTMPWS,24
"BoilerSteamPackaged Water Tube ""D"" Style Steam Generators40000",PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,"Packaged Water Tube ""D"" Style Steam Generators",PWS,40000.0,MBH,H-BLR-STM-PWS-40000,,HBLRSTMPWS,24
"BoilerSteamPackaged Water Tube ""D"" Style Steam Generators50000",PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,"Packaged Water Tube ""D"" Style Steam Generators",PWS,50000.0,MBH,H-BLR-STM-PWS-50000,,HBLRSTMPWS,24
"BoilerSteamPackaged Water Tube ""D"" Style Steam Generators60000",PF,Steam Boiler Plant,Steam,Steam Boiler,SB,SB,H,Boiler,BLR,Steam,STM,"Packaged Water Tube ""D"" Style Steam Generators",PWS,60000.0,MBH,H-BLR-STM-PWS-60000,,HBLRSTMPWS,24
Bypass Filter FeederAllAll10,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Bypass Filter Feeder,BYF,nan,H,Bypass Filter Feeder,BYF,All,nan,All,nan,10.0,GAL,H-BYF---10,,HBYF,20
Bypass Filter FeederAllAll2,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Bypass Filter Feeder,BYF,nan,H,Bypass Filter Feeder,BYF,All,nan,All,nan,2.0,GAL,H-BYF---2,,HBYF,20
Cabinet Unit HeaterElectricFloor Mounted125,PF,Air Handling System Terminal Equipment,Terminal Equipment,Cabinet Unit Heater,ECUH,CUH,H,Cabinet Unit Heater,CUH,Electric,ELE,Floor Mounted,FLR,125.0,MBH,H-CUH-ELE-FLR-125,,HCUHELEFLR,13
Cabinet Unit HeaterElectricFloor Mounted75,PF,Air Handling System Terminal Equipment,Terminal Equipment,Cabinet Unit Heater,ECUH,CUH,H,Cabinet Unit Heater,CUH,Electric,ELE,Floor Mounted,FLR,75.0,MBH,H-CUH-ELE-FLR-75,,HCUHELEFLR,13
Cabinet Unit HeaterHot WaterFloor Mounted125,PF,Air Handling System Terminal Equipment,Terminal Equipment,Cabinet Unit Heater,CUH,CUH,H,Cabinet Unit Heater,CUH,Hot Water,HW,Floor Mounted,FLR,125.0,MBH,H-CUH-HW-FLR-125,,HCUHHWFLR,20
Cabinet Unit HeaterHot WaterFloor Mounted75,PF,Air Handling System Terminal Equipment,Terminal Equipment,Cabinet Unit Heater,CUH,CUH,H,Cabinet Unit Heater,CUH,Hot Water,HW,Floor Mounted,FLR,75.0,MBH,H-CUH-HW-FLR-75,,HCUHHWFLR,20
Cabinet Unit HeaterSteamFloor Mounted125,PF,Air Handling System Terminal Equipment,Terminal Equipment,Cabinet Unit Heater,CUH,CUH,H,Cabinet Unit Heater,CUH,Steam,STM,Floor Mounted,FLR,125.0,MBH,H-CUH-STM-FLR-125,,HCUHSTMFLR,20
Cabinet Unit HeaterSteamFloor Mounted75,PF,Air Handling System Terminal Equipment,Terminal Equipment,Cabinet Unit Heater,CUH,CUH,H,Cabinet Unit Heater,CUH,Steam,STM,Floor Mounted,FLR,75.0,MBH,H-CUH-STM-FLR-75,,HCUHSTMFLR,20
ChillerAir CooledPackage with Pump10,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Package with Pump,PKG,10.0,TONS,H-CH-AIR-PKG-10,,HCHAIRPKG,20
ChillerAir CooledPackage with Pump100,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Package with Pump,PKG,100.0,TONS,H-CH-AIR-PKG-100,,HCHAIRPKG,20
ChillerAir CooledPackage with Pump150,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Package with Pump,PKG,150.0,TONS,H-CH-AIR-PKG-150,,HCHAIRPKG,20
ChillerAir CooledPackage with Pump200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Package with Pump,PKG,200.0,TONS,H-CH-AIR-PKG-200,,HCHAIRPKG,20
ChillerAir CooledPackage with Pump25,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Package with Pump,PKG,25.0,TONS,H-CH-AIR-PKG-25,,HCHAIRPKG,20
ChillerAir CooledPackage with Pump250,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Package with Pump,PKG,250.0,TONS,H-CH-AIR-PKG-250,,HCHAIRPKG,20
ChillerAir CooledPackage with Pump50,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Package with Pump,PKG,50.0,TONS,H-CH-AIR-PKG-50,,HCHAIRPKG,20
ChillerAir CooledPackage with Pump70,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Package with Pump,PKG,70.0,TONS,H-CH-AIR-PKG-70,,HCHAIRPKG,20
ChillerAir CooledScrew100,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,100.0,TONS,H-CH-AIR-SCW-100,,HCHAIRSCW,20
ChillerAir CooledScrew150,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,150.0,TONS,H-CH-AIR-SCW-150,,HCHAIRSCW,20
ChillerAir CooledScrew200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,200.0,TONS,H-CH-AIR-SCW-200,,HCHAIRSCW,20
ChillerAir CooledScrew25,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,25.0,TONS,H-CH-AIR-SCW-25,,HCHAIRSCW,20
ChillerAir CooledScrew250,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,250.0,TONS,H-CH-AIR-SCW-250,,HCHAIRSCW,20
ChillerAir CooledScrew300,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,300.0,TONS,H-CH-AIR-SCW-300,,HCHAIRSCW,20
ChillerAir CooledScrew350,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,350.0,TONS,H-CH-AIR-SCW-350,,HCHAIRSCW,20
ChillerAir CooledScrew400,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,400.0,TONS,H-CH-AIR-SCW-400,,HCHAIRSCW,20
ChillerAir CooledScrew50,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,50.0,TONS,H-CH-AIR-SCW-50,,HCHAIRSCW,20
ChillerAir CooledScrew500,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,500.0,TONS,H-CH-AIR-SCW-500,,HCHAIRSCW,20
ChillerAir CooledScrew75,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Screw,SCW,75.0,TONS,H-CH-AIR-SCW-75,,HCHAIRSCW,20
ChillerAir CooledScroll100,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Scroll,SCR,100.0,TONS,H-CH-AIR-SCR-100,,HCHAIRSCR,20
ChillerAir CooledScroll150,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Scroll,SCR,150.0,TONS,H-CH-AIR-SCR-150,,HCHAIRSCR,20
ChillerAir CooledScroll20,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Scroll,SCR,20.0,TONS,H-CH-AIR-SCR-20,,HCHAIRSCR,20
ChillerAir CooledScroll200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Scroll,SCR,200.0,TONS,H-CH-AIR-SCR-200,,HCHAIRSCR,20
ChillerAir CooledScroll40,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Scroll,SCR,40.0,TONS,H-CH-AIR-SCR-40,,HCHAIRSCR,20
ChillerAir CooledScroll60,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Scroll,SCR,60.0,TONS,H-CH-AIR-SCR-60,,HCHAIRSCR,20
ChillerAir CooledScroll80,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Air Cooled,AIR,Scroll,SCR,80.0,TONS,H-CH-AIR-SCR-80,,HCHAIRSCR,20
ChillerWater CooledAbsorption1000,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Absorption,ABS,1000.0,TONS,H-CH-WTR-ABS-1000,,HCHWTRABS,23
ChillerWater CooledAbsorption1500,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Absorption,ABS,1500.0,TONS,H-CH-WTR-ABS-1500,,HCHWTRABS,23
ChillerWater CooledAbsorption200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Absorption,ABS,200.0,TONS,H-CH-WTR-ABS-200,,HCHWTRABS,23
ChillerWater CooledAbsorption2000,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Absorption,ABS,2000.0,TONS,H-CH-WTR-ABS-2000,,HCHWTRABS,23
ChillerWater CooledAbsorption2500,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Absorption,ABS,2500.0,TONS,H-CH-WTR-ABS-2500,,HCHWTRABS,23
ChillerWater CooledAbsorption400,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Absorption,ABS,400.0,TONS,H-CH-WTR-ABS-400,,HCHWTRABS,23
ChillerWater CooledAbsorption600,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Absorption,ABS,600.0,TONS,H-CH-WTR-ABS-600,,HCHWTRABS,23
ChillerWater CooledAbsorption800,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Absorption,ABS,800.0,TONS,H-CH-WTR-ABS-800,,HCHWTRABS,23
ChillerWater CooledCentrifugal1000,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Centrifugal,CNT,1000.0,TONS,H-CH-WTR-CNT-1000,,HCHWTRCNT,23
ChillerWater CooledCentrifugal1500,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Centrifugal,CNT,1500.0,TONS,H-CH-WTR-CNT-1500,,HCHWTRCNT,23
ChillerWater CooledCentrifugal200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Centrifugal,CNT,200.0,TONS,H-CH-WTR-CNT-200,,HCHWTRCNT,23
ChillerWater CooledCentrifugal2000,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Centrifugal,CNT,2000.0,TONS,H-CH-WTR-CNT-2000,,HCHWTRCNT,23
ChillerWater CooledCentrifugal2500,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Centrifugal,CNT,2500.0,TONS,H-CH-WTR-CNT-2500,,HCHWTRCNT,23
ChillerWater CooledCentrifugal400,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Centrifugal,CNT,400.0,TONS,H-CH-WTR-CNT-400,,HCHWTRCNT,23
ChillerWater CooledCentrifugal600,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Centrifugal,CNT,600.0,TONS,H-CH-WTR-CNT-600,,HCHWTRCNT,23
ChillerWater CooledCentrifugal800,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Centrifugal,CNT,800.0,TONS,H-CH-WTR-CNT-800,,HCHWTRCNT,23
ChillerWater CooledModular100,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Modular,MOD,100.0,TONS,H-CH-WTR-MOD-100,,HCHWTRMOD,20
ChillerWater CooledModular150,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Modular,MOD,150.0,TONS,H-CH-WTR-MOD-150,,HCHWTRMOD,20
ChillerWater CooledModular20,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Modular,MOD,20.0,TONS,H-CH-WTR-MOD-20,,HCHWTRMOD,20
ChillerWater CooledModular200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Modular,MOD,200.0,TONS,H-CH-WTR-MOD-200,,HCHWTRMOD,20
ChillerWater CooledModular40,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Modular,MOD,40.0,TONS,H-CH-WTR-MOD-40,,HCHWTRMOD,20
ChillerWater CooledModular60,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Modular,MOD,60.0,TONS,H-CH-WTR-MOD-60,,HCHWTRMOD,20
ChillerWater CooledModular80,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Modular,MOD,80.0,TONS,H-CH-WTR-MOD-80,,HCHWTRMOD,20
ChillerWater CooledReciprocating100,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,100.0,TONS,H-CH-WTR-RCP-100,,HCHWTRRCP,20
ChillerWater CooledReciprocating150,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,150.0,TONS,H-CH-WTR-RCP-150,,HCHWTRRCP,20
ChillerWater CooledReciprocating20,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,20.0,TONS,H-CH-WTR-RCP-20,,HCHWTRRCP,20
ChillerWater CooledReciprocating200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,200.0,TONS,H-CH-WTR-RCP-200,,HCHWTRRCP,20
ChillerWater CooledReciprocating300,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,300.0,TONS,H-CH-WTR-RCP-300,,HCHWTRRCP,20
ChillerWater CooledReciprocating350,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,350.0,TONS,H-CH-WTR-RCP-350,,HCHWTRRCP,20
ChillerWater CooledReciprocating40,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,40.0,TONS,H-CH-WTR-RCP-40,,HCHWTRRCP,20
ChillerWater CooledReciprocating400,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,400.0,TONS,H-CH-WTR-RCP-400,,HCHWTRRCP,20
ChillerWater CooledReciprocating500,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,500.0,TONS,H-CH-WTR-RCP-500,,HCHWTRRCP,20
ChillerWater CooledReciprocating60,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,60.0,TONS,H-CH-WTR-RCP-60,,HCHWTRRCP,20
ChillerWater CooledReciprocating80,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Reciprocating,RCP,80.0,TONS,H-CH-WTR-RCP-80,,HCHWTRRCP,20
ChillerWater CooledScrew100,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,100.0,TONS,H-CH-WTR-SCW-100,,HCHWTRSCW,20
ChillerWater CooledScrew150,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,150.0,TONS,H-CH-WTR-SCW-150,,HCHWTRSCW,20
ChillerWater CooledScrew200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,200.0,TONS,H-CH-WTR-SCW-200,,HCHWTRSCW,20
ChillerWater CooledScrew25,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,25.0,TONS,H-CH-WTR-SCW-25,,HCHWTRSCW,20
ChillerWater CooledScrew250,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,250.0,TONS,H-CH-WTR-SCW-250,,HCHWTRSCW,20
ChillerWater CooledScrew300,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,300.0,TONS,H-CH-WTR-SCW-300,,HCHWTRSCW,20
ChillerWater CooledScrew350,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,350.0,TONS,H-CH-WTR-SCW-350,,HCHWTRSCW,20
ChillerWater CooledScrew400,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,400.0,TONS,H-CH-WTR-SCW-400,,HCHWTRSCW,20
ChillerWater CooledScrew50,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,50.0,TONS,H-CH-WTR-SCW-50,,HCHWTRSCW,20
ChillerWater CooledScrew500,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,500.0,TONS,H-CH-WTR-SCW-500,,HCHWTRSCW,20
ChillerWater CooledScrew75,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Screw,SCW,75.0,TONS,H-CH-WTR-SCW-75,,HCHWTRSCW,20
ChillerWater CooledScroll100,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Scroll,SCR,100.0,TONS,H-CH-WTR-SCR-100,,HCHWTRSCR,20
ChillerWater CooledScroll150,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Scroll,SCR,150.0,TONS,H-CH-WTR-SCR-150,,HCHWTRSCR,20
ChillerWater CooledScroll20,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Scroll,SCR,20.0,TONS,H-CH-WTR-SCR-20,,HCHWTRSCR,20
ChillerWater CooledScroll200,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Scroll,SCR,200.0,TONS,H-CH-WTR-SCR-200,,HCHWTRSCR,20
ChillerWater CooledScroll40,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Scroll,SCR,40.0,TONS,H-CH-WTR-SCR-40,,HCHWTRSCR,20
ChillerWater CooledScroll60,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Scroll,SCR,60.0,TONS,H-CH-WTR-SCR-60,,HCHWTRSCR,20
ChillerWater CooledScroll80,PF,Chiller Plant,Chilled Water,Chiller,CH,CH,H,Chiller,CH,Water Cooled,WTR,Scroll,SCR,80.0,TONS,H-CH-WTR-SCR-80,,HCHWTRSCR,20
Compressor - Refrig.Air CooledReciprocating10,REF,Refrigeration Equipment,Refrigeration,Compressor,nan,nan,R,Compressor - Refrig.,CMP,Air Cooled,AIR,Reciprocating,RCP,10.0,TONS,R-CMP-AIR-RCP-10,,RCMPAIRRCP,20
Compressor - Refrig.Air CooledReciprocating100,REF,Refrigeration Equipment,Refrigeration,Compressor,nan,nan,R,Compressor - Refrig.,CMP,Air Cooled,AIR,Reciprocating,RCP,100.0,TONS,R-CMP-AIR-RCP-100,,RCMPAIRRCP,20
