﻿Asset Category,Equip Name ID,Trade,Precon System,Operations System,Title,Drawing Abbreviation,Precon Tag,System Type ID,Sub System Type,Sub System ID,Sub System Class,Class ID,Equipment Size,Unit,Service Maintenance Hrs,Service Life
Fixture,FIX,PL,Fixtures,Fixtures,Access Panel,AP,Other,P,Other,OTH,Access Panel,AP,0,N/A,0.5,25
Tank,TNK,PL,Sanitary Equipment,Sanitary Waste,Acid Neutralization Tank,ANT,Other,P,Acid Neutralization,NEU,All,,2,INCHES,0,15
Tank,TNK,PL,Sanitary Equipment,Sanitary Waste,Acid Neutralization Tank,ANT,Other,P,Acid Neutralization,NEU,All,,4,INCHES,0,15
Tank,TNK,PL,Sanitary Equipment,Sanitary Waste,Acid Neutralization Tank,ANT,Other,P,Acid Neutralization,NEU,All,,6,INCHES,0,15
Fixture,FIX,PL,Fixtures,Fixtures,Air Admittance Valve,AAV,WV,P,Waste & Vent,WV,Air Admittance Valve,AAV,0,N/A,0.5,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,5,HP,5,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,15,HP,6,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,50,HP,8,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,100,HP,12,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,250,HP,20,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Screw,SCW,15,HP,6,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Screw,SCW,50,HP,8,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Screw,SCW,100,HP,12,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Screw,SCW,250,HP,20,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Centrifugal,CNT,250,HP,32,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Centrifugal,CNT,250,HP,32,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Centrifugal,CNT,250,HP,32,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Centrifugal,CNT,250,HP,32,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Centrifugal,CNT,1000,HP,60,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Centrifugal,CNT,3000,HP,90,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Centrifugal,CNT,5000,HP,120,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Screw,SCW,50,HP,12,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Screw,SCW,100,HP,16,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Screw,SCW,150,HP,20,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Screw,SCW,250,HP,24,15
Air Curtain,ACT,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Electric,ELE,All,,1000,CFM,2.5,10
Air Curtain,ACT,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Electric,ELE,All,,2000,CFM,2.5,10
Air Curtain,ACT,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Hot Water,HW,All,,1000,CFM,2.5,10
Air Curtain,ACT,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Hot Water,HW,All,,2000,CFM,2.5,10
Air Curtain,ACT,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Hot Water,HW,All,,5000,CFM,2.5,10
Air Curtain,ACT,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,No Heat,NOH,All,,1000,CFM,2,10
Air Curtain,ACT,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,No Heat,NOH,All,,2000,CFM,2,10
Air Curtain,ACT,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,No Heat,NOH,All,,5000,CFM,2,10
Air Dryer,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,AD,Other,P,Air Dryer,AD,Desiccant,DES,2000,CFM,2.5,15
Air Dryer,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,AD,Other,P,Air Dryer,AD,Desiccant,DES,5000,CFM,2.5,15
Air Dryer,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,AD,Other,P,Air Dryer,AD,Desiccant,DES,10000,CFM,2.5,15
Air Dryer,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,AD,Other,P,Air Dryer,AD,Desiccant,DES,15000,CFM,2.5,15
Air Dryer,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,AD,Other,P,Air Dryer,AD,Refrigerated,REF,100,CFM,2.5,15
Air Dryer,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,AD,Other,P,Air Dryer,AD,Refrigerated,REF,500,CFM,2.5,15
Air Dryer,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,AD,Other,P,Air Dryer,AD,Refrigerated,REF,1000,CFM,2.5,15
Air Dryer,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,AD,Other,P,Air Dryer,AD,Refrigerated,REF,2000,CFM,2.5,15
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Custom,CST,5000,CFM,4,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Custom,CST,10000,CFM,5,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Custom,CST,20000,CFM,6,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Custom,CST,40000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Custom,CST,60000,CFM,13,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Custom,CST,80000,CFM,16,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Custom,CST,100000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Packaged,PKG,5000,CFM,4,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Packaged,PKG,10000,CFM,5,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Packaged,PKG,20000,CFM,6,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Packaged,PKG,40000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Packaged,PKG,60000,CFM,13,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Packaged,PKG,80000,CFM,16,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"Chilled Water, Heating Water",CHW,Packaged,PKG,100000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CST,5000,CFM,8,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTMC,5000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWC,5000,CFM,12,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWCMC,5000,CFM,13,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTRC,5000,CFM,8,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,5000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,5000,CFM,8,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCC,5000,CFM,7,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CST,10000,CFM,11,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTMC,10000,CFM,12,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWC,10000,CFM,14,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWCMC,10000,CFM,15,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTRC,10000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,10000,CFM,11,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,10000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCC,10000,CFM,9,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CST,20000,CFM,14,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTMC,20000,CFM,16,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWC,20000,CFM,16,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWCMC,20000,CFM,17,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTRC,20000,CFM,12.5,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,20000,CFM,15,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,20000,CFM,14,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCC,20000,CFM,12,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CST,40000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTMC,40000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWC,40000,CFM,23,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWCMC,40000,CFM,25,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTRC,40000,CFM,18,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,40000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,40000,CFM,18,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCC,40000,CFM,16,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CST,60000,CFM,22,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTMC,60000,CFM,25,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWC,60000,CFM,26,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWCMC,60000,CFM,29,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTRC,60000,CFM,22,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,60000,CFM,24,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,60000,CFM,22,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCC,60000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CST,80000,CFM,24,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTMC,80000,CFM,32,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWC,80000,CFM,32,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWCMC,80000,CFM,34,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTRC,80000,CFM,26,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,80000,CFM,28,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,80000,CFM,26,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCC,80000,CFM,24,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CST,100000,CFM,32,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTMC,100000,CFM,36,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWC,100000,CFM,36,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CWCMC,100000,CFM,40,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CSTRC,100000,CFM,30,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,100000,CFM,32,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCMC,100000,CFM,30,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Custom,CRCC,100000,CFM,28,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKG,5000,CFM,8,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGMC,5000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWC,5000,CFM,12,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWCMC,5000,CFM,13,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGRC,5000,CFM,8,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,5000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,5000,CFM,8,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCC,5000,CFM,7,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKG,10000,CFM,11,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGMC,10000,CFM,12,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWC,10000,CFM,14,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWCMC,10000,CFM,15,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGRC,10000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,10000,CFM,11,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,10000,CFM,10,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCC,10000,CFM,9,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKG,20000,CFM,14,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGMC,20000,CFM,16,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWC,20000,CFM,16,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWCMC,20000,CFM,17,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGRC,20000,CFM,12.5,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,20000,CFM,15,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,20000,CFM,14,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCC,20000,CFM,12,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKG,40000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGMC,40000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWC,40000,CFM,23,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWCMC,40000,CFM,25,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGRC,40000,CFM,18,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,40000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,40000,CFM,18,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCC,40000,CFM,16,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKG,60000,CFM,22,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGMC,60000,CFM,25,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWC,60000,CFM,26,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWCMC,60000,CFM,29,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGRC,60000,CFM,22,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,60000,CFM,24,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,60000,CFM,22,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCC,60000,CFM,20,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKG,80000,CFM,24,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGMC,80000,CFM,32,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWC,80000,CFM,32,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PWCMC,80000,CFM,34,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGRC,80000,CFM,26,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,80000,CFM,28,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCMC,80000,CFM,26,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PRCC,80000,CFM,24,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKG,100000,CFM,32,20
Air Handling Unit,AHU,SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,"DX, Gas-Fired",DXG,Packaged,PKGMC,100000,CFM,36,20
