Unnamed: 0,D20,D20 - PLUMBING,D20 - PLUMBING.1
,D5090901,nan,D5090901 - EMERGENCY LIGHTING
,D5090902,nan,D5090902 - LIGHTNING PROTECTION (ARRESTERS)
,D5090903,nan,D5090903 - GROUNDING SYSTEM
,D5090904,nan,D5090904 - UNINTERUPTIBLE POWER SUPPLY
,E10,nan,E10 - EQUIPMENT
,E1010,nan,E1010 - COMMERCIAL EQUIPMENT
,E1010220,nan,"E1010220 - CONDENSING UNIT, AIR COOLED"
,E1010901,nan,"E1010901 - CONDENSER, DX, AIR COOLED"
,E1010910,nan,E1010910 - REFRIGERATOR/FREEZER WALK-IN BOX
,E1020,nan,E1020 - INSTITUTIONAL EQUIPMENT
,E1030,nan,E1030 - VEHICULAR EQUIPMENT
,E1030110,nan,E1030110 - VEHICULAR SERVICE EQUIPMENT
,E1030111,nan,E1030111 - AIR COMPRESSOR
,E1030112,nan,E1030112 - AIR DRYER
,E1030310,nan,E1030310 - LOADING DOCK EQUIPMENT
,E1040,nan,E1040 - INDUSTRIAL PROCESS EQUIPMENT
,E1090,nan,E1090 - OTHER EQUIPMENT
,E20,nan,E20 - FURNISHINGS
,E2010,nan,E2010 - FIXED FURNISHINGS
,E2020,nan,E2020 - MOVEABLE FURNISHINGS
,E202002,nan,E202002 - MODULAR PREFABRICATED FURNITURE
